Publication Meta Data Fields,,,,,,,
DARPA Program Name,Program Teams,Authors,Link,Title,Categories,Subcategories,ACM 1998 classification code
GRAPHS,Sandia National Laboratories,"C. Seshadhri, A. Pinar, T.G. Kolda",http://arxiv.org/pdf/1102.5046v3.pdf,An In-Depth Analysis of Stochastic Kronecker Graphs ,"Software Engineering, Data, Mathematics of Computing","Metrics, Data Structures, Discrete Mathematics, Random Graphs","D.2.8, E.1, G.2.2"
GRAPHS,Sandia National Laboratories,"C. Seshadhri, A. Pinar, T.G. Kolda",http://arxiv.org/pdf/1309.3321.pdf,Wedge Sampling for Computing Clustering Coefficients and Triangle Counts on Large Graphs,Mathematics of Computing,"Discrete Mathematics, Graph Algorithms, Approximation Algorithms",G.2.2
GRAPHS,Sandia National Laboratories,"T. G. Kolda, A. Pinar, T. Plantenga, C. Seshadhri",http://arxiv.org/pdf/1302.6636v3.pdf,A Scalable Generative Graph Model with Community Structure,Mathematics of Computing,"Discrete Mathematics, Graph Algorithms, Approximation Algorithms",G.2.2
GRAPHS,Sandia National Laboratories,"T. G. Kolda, A. Pinar, T. Plantenga, C. Seshadhri, C. Task",http://arxiv.org/pdf/1301.5887v3.pdf,Counting Triangles in Massive Graphs with MapReduce,Mathematics of Computing,"Discrete Mathematics, Graph Algorithms, Approximation Algorithms",G.2.2
GRAPHS,Sandia National Laboratories,"N. Durak, A. Pinar, T.G. Kolda, C. Seshadhri",http://arxiv.org/pdf/1207.7125.pdf,Degree Relations of Triangles in Real-world Networks and Graph Models,Mathematics of Computing,"Discrete Mathematics, Graph Algorithms, Approximation Algorithms",G.2.2
GRAPHS,Sandia National Laboratories,"N. Durak, A. Pinar, T.G. Kolda, C. Seshadhri",http://arxiv.org/pdf/1210.5288.pdf,"A Scalable Null Model for Directed Graphs Matching All Degree Distributions: In, Out, and Reciprocal",Mathematics of Computing,"Discrete Mathematics, Random Graphs",G.2.2
GRAPHS,Sandia National Laboratories,"C. Seshadhri, A. Pinar, T.G. Kolda",http://arxiv.org/pdf/1202.5230v2.pdf,Triadic Measures on Graphs: The Power of Wedge Sampling,Mathematics of Computing,"Discrete Mathematics, Graph Algorithms, Approximation Algorithms",G.2.2
GRAPHS,Sandia National Laboratories,"M. Jha, C. Seshadhri, A. Pinar",http://arxiv.org/pdf/1212.2264v3.pdf,A Space Efficient Streaming Algorithm for Triangle Couting Using the Birthday Paradox,Mathematics of Computing,"Discrete Mathematics, Graph Algorithms, Approximation Algorithms",G.2.2
GRAPHS,"University of Minnesota, Sandia National Laboratories","A. Singhal, K. Subbian, J Srivastava, T. G. Kolda, A. Pinar",http://www.sandia.gov/~tgkolda/pubs/pubfiles/SiSuSrKo13-ASONAM13.pdf,Dynamics of Trust Reciprocation in Multi-relational Networks,Mathematics of Computing,"Discrete Mathematics, Graph Algorithms, Approximation Algorithms",G.2.2
GRAPHS,Sandia National Laboratories,"J. W. Berry, L.K. Fostvedt, D.J. Nordman, C.A. Phillips, C. Seshadhri, A.G. Wilson",http://www.cs.princeton.edu/~csesha/pubs/conf-triangle-enum.pdf,Why do Simple Algorithms for Triangle Enumeration Work in the Real World?,Mathematics of Computing,"Discrete Mathematics, Graph Algorithms, Approximation Algorithms",G.2.2
GRAPHS,Sandia National Laboratories,"R. Gupta, T. Roughgarden, C. Seshadhri",http://arxiv.org/pdf/1309.7440v3.pdf,Decompositions of Triangle-dense Graphs,Mathematics of Computing,"Discrete Mathematics, Graph Algorithms, Approximation Algorithms",
GRAPHS,Sandia National Laboratories,"C. Klymko, D.F. Gleich, T.G. Kolda",http://arxiv.org/pdf/1404.5874v1.pdf,Using Triangles to Improve Community Detection in Directed Networks,Mathematics of Computing,"Discrete Mathematics, Graph Algorithms, Approximation Algorithms",
GRAPHS,"Stanford University, Sandia National Laboratories","P. Lofgren, S. Banerjee, A. Goel, A. Seshadhri",http://arxiv.org/pdf/1404.3181v1.pdf,FAST-PPR: Scaling Personalized PageRank Estimation for Large Graphs,Mathematics of Computing,"Discrete Mathematics, Graph Algorithms, Approximation Algorithms",
